2015-06-22 15:26:48.039 testAppCross.iOS[11330:1303] MonoTouch: Socket error while connecting to MonoDevelop on 127.0.0.1:10000: Connection refused
2015-06-22 15:26:50.237 testAppCross.iOS[11330:70b] warning: Symbol file /Users/xcode5/Library/Developer/CoreSimulator/Devices/D20BC140-4A77-4A80-B9BF-F3D87D4B8F29/data/Applications/CCFADC28-10B0-4476-8512-89227DC5E8CC/testAppCross.iOS.app/testAppCross.iOS.exe.mdb doesn't match image (null)
2015-06-22 15:26:50.281 testAppCross.iOS[11330:70b] warning: Symbol file /Users/xcode5/Library/Developer/CoreSimulator/Devices/D20BC140-4A77-4A80-B9BF-F3D87D4B8F29/data/Applications/CCFADC28-10B0-4476-8512-89227DC5E8CC/testAppCross.iOS.app/testAppCross.dll.mdb doesn't match image (null)
2015-06-22 15:26:50.524 testAppCross.iOS[11330:70b] Cannot find executable for CFBundle 0x7d33ecf0 </Applications/Xcode.app/Contents/Developer/Platforms/iPhoneSimulator.platform/Developer/SDKs/iPhoneSimulator7.1.sdk/System/Library/AccessibilityBundles/StoreKitFramework.axbundle> (not loaded)
2015-06-22 15:26:50.528 testAppCross.iOS[11330:70b] Cannot find executable for CFBundle 0x7d335130 </Applications/Xcode.app/Contents/Developer/Platforms/iPhoneSimulator.platform/Developer/SDKs/iPhoneSimulator7.1.sdk/System/Library/AccessibilityBundles/TwitterFramework.axbundle> (not loaded)
2015-06-22 15:26:50.547 testAppCross.iOS[11330:70b] Cannot find executable for CFBundle 0x7d3234c0 </Applications/Xcode.app/Contents/Developer/Platforms/iPhoneSimulator.platform/Developer/SDKs/iPhoneSimulator7.1.sdk/System/Library/AccessibilityBundles/EventKitUIFramework.axbundle> (not loaded)
2015-06-22 15:26:50.549 testAppCross.iOS[11330:70b] Cannot find executable for CFBundle 0x7d322a20 </Applications/Xcode.app/Contents/Developer/Platforms/iPhoneSimulator.platform/Developer/SDKs/iPhoneSimulator7.1.sdk/System/Library/AccessibilityBundles/SocialFramework.axbundle> (not loaded)
2015-06-22 15:26:50.556 testAppCross.iOS[11330:70b] Cannot find executable for CFBundle 0x7d3198f0 </Applications/Xcode.app/Contents/Developer/Platforms/iPhoneSimulator.platform/Developer/SDKs/iPhoneSimulator7.1.sdk/System/Library/AccessibilityBundles/StoreKitUI.axbundle> (not loaded)
2015-06-22 15:26:50.558 testAppCross.iOS[11330:70b] Cannot find executable for CFBundle 0x7d315dd0 </Applications/Xcode.app/Contents/Developer/Platforms/iPhoneSimulator.platform/Developer/SDKs/iPhoneSimulator7.1.sdk/System/Library/AccessibilityBundles/GameCenterUIFramework.axbundle> (not loaded)
2015-06-22 15:26:50.568 testAppCross.iOS[11330:70b] Cannot find executable for CFBundle 0x7d4594b0 </Applications/Xcode.app/Contents/Developer/Platforms/iPhoneSimulator.platform/Developer/SDKs/iPhoneSimulator7.1.sdk/System/Library/AccessibilityBundles/iAdFramework.axbundle> (not loaded)
2015-06-22 15:26:50.577 testAppCross.iOS[11330:70b] Cannot find executable for CFBundle 0x7d465140 </Applications/Xcode.app/Contents/Developer/Platforms/iPhoneSimulator.platform/Developer/SDKs/iPhoneSimulator7.1.sdk/System/Library/AccessibilityBundles/GameKitFramework.axbundle> (not loaded)
2015-06-22 15:26:50.580 testAppCross.iOS[11330:70b] Cannot find executable for CFBundle 0x7d46c2b0 </Applications/Xcode.app/Contents/Developer/Platforms/iPhoneSimulator.platform/Developer/SDKs/iPhoneSimulator7.1.sdk/System/Library/AccessibilityBundles/PassKitFramework.axbundle> (not loaded)
2015-06-22 15:26:50.582 testAppCross.iOS[11330:70b] Cannot find executable for CFBundle 0x7d46e3e0 </Applications/Xcode.app/Contents/Developer/Platforms/iPhoneSimulator.platform/Developer/SDKs/iPhoneSimulator7.1.sdk/System/Library/AccessibilityBundles/RemoteUIFramework.axbundle> (not loaded)
2015-06-22 15:26:50.585 testAppCross.iOS[11330:70b] Cannot find executable for CFBundle 0x7d474050 </Applications/Xcode.app/Contents/Developer/Platforms/iPhoneSimulator.platform/Developer/SDKs/iPhoneSimulator7.1.sdk/System/Library/AccessibilityBundles/CertUIFramework.axbundle> (not loaded)
2015-06-22 15:26:50.588 testAppCross.iOS[11330:70b] Cannot find executable for CFBundle 0x7d47ada0 </Applications/Xcode.app/Contents/Developer/Platforms/iPhoneSimulator.platform/Developer/SDKs/iPhoneSimulator7.1.sdk/System/Library/AccessibilityBundles/MusicLibrary.axbundle> (not loaded)
2015-06-22 15:26:50.609 testAppCross.iOS[11330:70b] Cannot find executable for CFBundle 0x7bf02ca0 </Applications/Xcode.app/Contents/Developer/Platforms/iPhoneSimulator.platform/Developer/SDKs/iPhoneSimulator7.1.sdk/System/Library/AccessibilityBundles/GeoServices.axbundle> (not loaded)
